2025-04-21 10:26:25 | WARN      | ORA-01017: 사용자 이름/비밀번호 오류
2025-04-21 10:26:27 | WARN      | 디스크 용량 부족
2025-04-21 10:26:27 | ERROR     | DB 연결 실패
2025-04-21 10:26:29 | ERROR     | 트랜잭션 롤백됨
2025-04-21 10:26:30 | DEBUG     | 인증 실패: admin
2025-04-21 10:26:31 | WARN      | 트랜잭션 롤백됨
2025-04-21 10:26:31 | CRITICAL  | DB 연결 실패
2025-04-21 10:26:33 | ERROR     | DB 연결 실패
2025-04-21 10:26:34 | WARN      | ORA-12170: TNS 연결 시간 초과
2025-04-21 10:26:35 | DEBUG     | DB 연결 실패
2025-04-21 10:26:37 | ERROR     | 트랜잭션 롤백됨
2025-04-21 10:26:38 | ERROR     | 외부 API 호출 실패
2025-04-21 10:26:40 | WARN      | 쿼리 수행 시간 초과
2025-04-21 10:26:41 | WARN      | ORA-12170: TNS 연결 시간 초과
2025-04-21 10:26:41 | ERROR     | 쿼리 수행 시간 초과
2025-04-21 10:26:42 | CRITICAL  | 인증 실패: guest
2025-04-21 10:26:43 | WARN      | 디스크 용량 부족
2025-04-21 10:26:44 | INFO      | 인증 실패: user1
2025-04-21 10:26:46 | WARN      | DB 연결 실패
2025-04-21 10:26:46 | CRITICAL  | 외부 API 호출 실패
2025-04-21 10:26:47 | INFO      | 트랜잭션 롤백됨
2025-04-21 10:26:49 | CRITICAL  | ORA-01017: 사용자 이름/비밀번호 오류
2025-04-21 10:26:50 | INFO      | 접속 종료됨: admin
2025-04-21 10:26:51 | WARN      | 인증 실패: admin
2025-04-21 10:26:52 | DEBUG     | 외부 API 호출 실패
2025-04-21 10:26:53 | ERROR     | ORA-01017: 사용자 이름/비밀번호 오류
2025-04-21 10:26:54 | INFO      | DB 연결 실패
2025-04-21 10:26:56 | CRITICAL  | DB 연결 실패
2025-04-21 10:26:56 | INFO      | 외부 API 호출 실패
2025-04-21 10:26:58 | CRITICAL  | 접속 종료됨: system
2025-04-21 10:26:59 | WARN      | FATAL: DB 프로세스 종료됨
2025-04-21 10:27:00 | CRITICAL  | 디스크 용량 부족
2025-04-21 10:27:00 | CRITICAL  | ORA-12170: TNS 연결 시간 초과
2025-04-21 10:27:01 | CRITICAL  | 디스크 용량 부족
2025-04-21 10:27:01 | DEBUG     | 외부 API 호출 실패
2025-04-21 10:27:02 | ERROR     | ORA-01017: 사용자 이름/비밀번호 오류
2025-04-21 10:27:04 | ERROR     | DB 연결 실패
2025-04-21 10:27:05 | DEBUG     | 접속 종료됨: admin
2025-04-21 10:27:06 | ERROR     | DB 연결 실패
2025-04-21 10:27:08 | INFO      | 인증 실패: system
2025-04-21 10:27:09 | INFO      | 접속 종료됨: system
2025-04-21 10:27:11 | WARN      | 외부 API 호출 실패
2025-04-21 10:27:12 | WARN      | 접속 종료됨: root
2025-04-21 10:27:14 | CRITICAL  | 쿼리 수행 시간 초과
2025-04-21 10:27:15 | DEBUG     | 인증 실패: guest
2025-04-21 10:27:17 | CRITICAL  | 외부 API 호출 실패
2025-04-21 10:27:18 | INFO      | ORA-01017: 사용자 이름/비밀번호 오류
2025-04-21 10:27:20 | INFO      | FATAL: DB 프로세스 종료됨
2025-04-21 10:27:20 | WARN      | 디스크 용량 부족
2025-04-21 10:27:21 | INFO      | 접속 종료됨: system
2025-04-21 10:27:23 | CRITICAL  | 쿼리 수행 시간 초과
2025-04-21 10:27:23 | ERROR     | 디스크 용량 부족
2025-04-21 10:27:25 | CRITICAL  | ORA-12170: TNS 연결 시간 초과
2025-04-21 10:27:25 | WARN      | DB 연결 실패
2025-04-21 10:27:27 | CRITICAL  | 접속 종료됨: system
2025-04-21 10:27:27 | INFO      | 외부 API 호출 실패
2025-04-21 10:27:28 | ERROR     | 트랜잭션 롤백됨
2025-04-21 10:27:30 | WARN      | ORA-01017: 사용자 이름/비밀번호 오류
2025-04-21 10:27:31 | WARN      | 인증 실패: guest
2025-04-21 10:27:32 | INFO      | DB 연결 실패
2025-04-21 10:27:33 | DEBUG     | 외부 API 호출 실패
2025-04-21 10:27:34 | DEBUG     | FATAL: DB 프로세스 종료됨
2025-04-21 10:27:36 | CRITICAL  | DB 연결 실패
2025-04-21 10:27:38 | WARN      | ORA-12170: TNS 연결 시간 초과
2025-04-21 10:27:39 | CRITICAL  | FATAL: DB 프로세스 종료됨
2025-04-21 10:27:40 | CRITICAL  | 쿼리 수행 시간 초과
2025-04-21 10:27:42 | DEBUG     | 인증 실패: user1
2025-04-21 10:27:43 | CRITICAL  | ORA-12170: TNS 연결 시간 초과
2025-04-21 10:27:44 | DEBUG     | DB 연결 실패
2025-04-21 10:27:45 | INFO      | DB 연결 실패
2025-04-21 10:27:47 | INFO      | 외부 API 호출 실패
2025-04-21 10:27:48 | DEBUG     | FATAL: DB 프로세스 종료됨
2025-04-21 10:27:49 | WARN      | 디스크 용량 부족
2025-04-21 10:27:50 | WARN      | 디스크 용량 부족
2025-04-21 10:27:52 | INFO      | 쿼리 수행 시간 초과
2025-04-21 10:27:52 | DEBUG     | 디스크 용량 부족
